Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,M01AE,RandomForest,1.67,3.4987782585294895,Validation
2016-10-09,M01AE,RandomForest,5.02,4.821239964922844,Validation
2016-09-25,M01AE,RandomForest,4.33,4.740312598571716,Validation
2019-05-07,M01AE,RandomForest,5.519,3.549610853728579,Validation
2019-01-31,M01AE,RandomForest,11.505,5.81522995153619,Validation
2015-01-29,M01AE,RandomForest,5.71,3.8200323950691555,Validation
2016-02-17,M01AE,RandomForest,5.0,4.202554183079753,Validation
2015-03-22,M01AE,RandomForest,6.67,4.0395339012509455,Validation
2016-04-03,M01AE,RandomForest,7.396,4.105944578250599,Validation
2017-12-30,M01AE,RandomForest,8.363,3.913649311991973,Validation
2019-01-07,M01AE,RandomForest,0.0,4.017597211122046,Validation
2017-06-27,M01AE,RandomForest,3.32,3.5307040705187904,Validation
2017-05-25,M01AE,RandomForest,5.36,3.4033940431199285,Validation
2019-08-20,M01AE,RandomForest,1.32,3.4742506874404935,Validation
2018-10-27,M01AE,RandomForest,3.426,4.623544037555065,Validation
2017-08-02,M01AE,RandomForest,2.66,3.5359961309195462,Validation
2016-03-31,M01AE,RandomForest,8.68,3.5273812570441425,Validation
2018-02-23,M01AE,RandomForest,2.979,4.5183027668192866,Validation
2017-06-30,M01AE,RandomForest,2.132,3.542172010764272,Validation
2014-08-11,M01AE,RandomForest,5.36,3.5684343421040086,Validation
2017-08-08,M01AE,RandomForest,1.703,3.5306091084911864,Validation
2015-08-18,M01AE,RandomForest,2.67,3.9812873040476697,Validation
2015-06-09,M01AE,RandomForest,4.0,3.6579120627319313,Validation
2014-05-21,M01AE,RandomForest,4.68,3.4951917091619045,Validation
2016-03-20,M01AE,RandomForest,9.693,5.734608635866798,Validation
2019-09-25,M01AE,RandomForest,3.67,3.5139959683440996,Validation
2018-11-28,M01AE,RandomForest,5.67,3.6622799668988324,Validation
2015-01-04,M01AE,RandomForest,8.92,5.0462348110873165,Validation
2017-07-29,M01AE,RandomForest,3.33,3.9047843058154337,Validation
2018-04-05,M01AE,RandomForest,3.67,3.530396188007358,Validation
2014-11-19,M01AE,RandomForest,3.67,3.516766174657283,Validation
2014-09-04,M01AE,RandomForest,5.34,3.5258320944055246,Validation
2015-12-03,M01AE,RandomForest,3.0,3.4887150346427878,Validation
2014-03-10,M01AE,RandomForest,5.35,3.5821204452191107,Validation
2017-12-05,M01AE,RandomForest,3.165,3.565170619133326,Validation
2016-12-01,M01AE,RandomForest,2.363,3.6899104232368,Validation
2015-05-26,M01AE,RandomForest,3.34,3.5185422433832008,Validation
2019-07-26,M01AE,RandomForest,4.0,3.4503246895867936,Validation
2018-09-27,M01AE,RandomForest,6.567,4.2811761962462,Validation
2019-09-24,M01AE,RandomForest,1.34,3.5555257401069125,Validation
2017-10-05,M01AE,RandomForest,3.99,3.4872329763733023,Validation
2018-06-30,M01AE,RandomForest,3.34,4.053293919336083,Validation
2018-10-07,M01AE,RandomForest,7.35,4.331470272459304,Validation
2019-06-09,M01AE,RandomForest,1.033,3.984541315150408,Validation
2015-01-07,M01AE,RandomForest,0.0,4.5363139873605585,Validation
2016-02-22,M01AE,RandomForest,5.32,3.4941128720454047,Validation
2018-01-25,M01AE,RandomForest,5.132,3.5956702921997876,Validation
2015-09-07,M01AE,RandomForest,6.124,4.347563637334351,Validation
2018-10-03,M01AE,RandomForest,3.33,3.980001560086402,Validation
2019-08-18,M01AE,RandomForest,2.846,4.049259060425214,Validation
2018-03-03,M01AE,RandomForest,2.363,3.7939013222749955,Validation
2018-07-19,M01AE,RandomForest,4.0,3.671477791735238,Validation
2016-02-21,M01AE,RandomForest,4.0,4.2568287128335305,Validation
2015-08-05,M01AE,RandomForest,3.33,3.7887487269472984,Validation
2018-09-12,M01AE,RandomForest,3.0,3.471708623398845,Validation
2016-11-06,M01AE,RandomForest,4.34,4.497884705410994,Validation
2015-07-22,M01AE,RandomForest,0.34,3.4481145355185845,Validation
2018-09-06,M01AE,RandomForest,4.056,3.432423213835034,Validation
2018-06-25,M01AE,RandomForest,3.099,3.7655497201973738,Validation
2016-03-16,M01AE,RandomForest,13.34,4.061611443584424,Validation
2014-07-15,M01AE,RandomForest,1.68,3.4875085241861887,Validation
2016-05-24,M01AE,RandomForest,3.167,3.554306348210553,Validation
2018-07-31,M01AE,RandomForest,3.736,3.525342364252154,Validation
2014-11-08,M01AE,RandomForest,7.02,3.7365786108590724,Validation
2018-12-27,M01AE,RandomForest,3.01,3.5604477734997544,Validation
2017-11-01,M01AE,RandomForest,3.429,3.514317323580257,Validation
2017-11-11,M01AE,RandomForest,3.0,4.712185791001548,Validation
2017-07-10,M01AE,RandomForest,4.353,3.573499408964821,Validation
2019-05-29,M01AE,RandomForest,2.34,3.443941056043237,Validation
2019-04-19,M01AE,RandomForest,2.743,3.6096846444586563,Validation
2016-10-12,M01AE,RandomForest,2.373,3.7006046954033227,Validation
2018-09-23,M01AE,RandomForest,9.439,3.9243410572211594,Validation
2014-07-29,M01AE,RandomForest,0.68,3.523607250423375,Validation
